weekday,Zone,week_number,hour,driver_pay
Friday,Clinton East,1,0,6623.21
Friday,Clinton East,1,1,4488.86
Friday,Clinton East,1,2,4288.9800000000005
Friday,Clinton East,1,3,4125.16
Friday,Clinton East,1,4,3984.91
Friday,Clinton East,1,5,3847.56
Friday,Clinton East,1,6,4152.46
Friday,Clinton East,1,7,4261.34
Friday,Clinton East,1,8,5335.86
Friday,Clinton East,1,9,6420.88
Friday,Clinton East,1,10,6373.35
Friday,Clinton East,1,11,6385.85
Friday,Clinton East,1,12,6444.24
Friday,Clinton East,1,13,7501.3
Friday,Clinton East,1,14,5177.18
Friday,Clinton East,1,15,4888.82
Friday,Clinton East,1,16,5353.62
Friday,Clinton East,1,17,7028.85
Friday,Clinton East,1,18,9511.59
Friday,Clinton East,1,19,8720.39
Friday,Clinton East,1,20,7742.94
Friday,Clinton East,1,21,10585.24
Friday,Clinton East,1,22,11539.23
Friday,Clinton East,1,23,11632.85
Friday,Clinton East,2,0,6547.97
Friday,Clinton East,2,1,4668.6
Friday,Clinton East,2,2,3348.38
Friday,Clinton East,2,3,3644.11
Friday,Clinton East,2,4,4340.79
Friday,Clinton East,2,5,3317.82
Friday,Clinton East,2,6,4557.82
Friday,Clinton East,2,7,4859.6
Friday,Clinton East,2,8,5595.31
Friday,Clinton East,2,9,6085.65
Friday,Clinton East,2,10,5369.39
Friday,Clinton East,2,11,6161.82
Friday,Clinton East,2,12,6156.2699999999995
Friday,Clinton East,2,13,6652.46
Friday,Clinton East,2,14,6466.41
Friday,Clinton East,2,15,4960.47
Friday,Clinton East,2,16,6178.63
Friday,Clinton East,2,17,5988.97
Friday,Clinton East,2,18,9063.78
Friday,Clinton East,2,19,7844.95
Friday,Clinton East,2,20,7108.9
Friday,Clinton East,2,21,9268.17
Friday,Clinton East,2,22,11616.039999999999
Friday,Clinton East,2,23,10262.86
Friday,Clinton East,3,0,5827.76
Friday,Clinton East,3,1,4790.41
Friday,Clinton East,3,2,3786.86
Friday,Clinton East,3,3,3664.87
Friday,Clinton East,3,4,3359.81
Friday,Clinton East,3,5,3349.4
Friday,Clinton East,3,6,3831.31
Friday,Clinton East,3,7,4617.31
Friday,Clinton East,3,8,5459.13
Friday,Clinton East,3,9,5440.53
Friday,Clinton East,3,10,4843.84
Friday,Clinton East,3,11,6000.99
Friday,Clinton East,3,12,5480.33
